Name,Artist,Album,Track Number
The Ballad of Barbara Allen,Goldmund,All Will Prosper,7
Johnny Has Gone For A Soldier,Goldmund,All Will Prosper,8
Battle Cry of Freedom,Goldmund,All Will Prosper,9
Shenandoah,Goldmund,All Will Prosper,10
Who'll Save the Left?,Goldmund,All Will Prosper,11
Just Before The Battle Mother,Goldmund,All Will Prosper,12
The Yellow Rose of Texas,Goldmund,All Will Prosper,13
Bonnie Blue Flag,Goldmund,All Will Prosper,14
When Johnny Comes Marching Home,Goldmund,All Will Prosper,15
Þú ert sólin,Ólafur Arnalds,...and they have escaped the weight of darkness,1
Atomos V,A Winged Victory for the Sullen,Atomos,4
3 Sarabandes (1887): No. 1,Erik Satie,Piano Music,1
3 Sarabandes (1887): No. 2,Erik Satie,Piano Music,2
3 Sarabandes (1887): No. 3,Erik Satie,Piano Music,3
3 Gymnopédies (1889): No. 1: Lent Et Douloureux,Erik Satie,Piano Music,4
3 Gymnopédies (1889): No. 2: Lent Et Triste,Erik Satie,Piano Music,5
3 Gymnopédies (1889): No. 3: Lent Et Grave,Erik Satie,Piano Music,6
Gnossiennes 1-3 (1890): No. 1,Erik Satie,Piano Music,7
Gnossiennes 1-3 (1890): No. 2,Erik Satie,Piano Music,8
Gnossiennes 1-3 (1890): No. 3,Erik Satie,Piano Music,9
Gnossiennes 4-6 (1889-1897): No. 4,Erik Satie,Piano Music,10
Gnossiennes 4-6 (1889-1897): No. 5,Erik Satie,Piano Music,11
Gnossiennes 4-6 (1889-1897): No. 6,Erik Satie,Piano Music,12
"2 Préludes Du Nazaréen (1892): No. 1, Assez Lent",Erik Satie,Piano Music,13
"2 Préludes Du Nazaréen (1892): No. 2, Assez Lent",Erik Satie,Piano Music,14
Prélude De La Porte Héroique Du Ciel (1894),Erik Satie,Piano Music,15
"2 Pièces Froides (1897), No. 1:airs A Faire Fuir: D'une Manière Très Particulaire",Erik Satie,Piano Music,16
"2 Pièces Froides (1897), No. 1:airs A Faire Fuir: Modestemente",Erik Satie,Piano Music,17
"2 Pièces Froides (1897), No. 1:airs A Faire Fuir: S'inviter",Erik Satie,Piano Music,18
"2 Pièces Froides (1897), No. 2: Danses De Travers: En Y Regardant À Deux Fois",Erik Satie,Piano Music,19
"2 Pièces Froides (1897), No. 2: Danses De Travers: Passer",Erik Satie,Piano Music,20
"2 Pièces Froides (1897), No. 2: Danses De Travers: Encore",Erik Satie,Piano Music,21
Petite Ouverture A Danser (1900),Erik Satie,Piano Music,22
"Poudre D'or, Valse (1902)",Erik Satie,Piano Music,23
Le Piccadilly (1904),Erik Satie,Piano Music,24
3 Véritables Préludes Flasques (1912): Sévere Reprimande,Erik Satie,Piano Music,25
3 Véritables Préludes Flasques (1912): Seul A La Maison,Erik Satie,Piano Music,26
3 Véritables Préludes Flasques (1912): On Jou,Erik Satie,Piano Music,27
Chapitres Tournés En Tous Sens (1913): Celui Qui Parle Trop,Erik Satie,Piano Music,28
Chapitres Tournés En Tous Sens (1913): Le Porteur De Grosses Pierres,Erik Satie,Piano Music,29
Chapitres Tournés En Tous Sens (1913): Regrets Des Enfermés,Erik Satie,Piano Music,30
3 Descriptions Automatiques (1913): Sur Un Vaisseau,Erik Satie,Piano Music,31
3 Descriptions Automatiques (1913): Sur Une Lanterne,Erik Satie,Piano Music,32
3 Descriptions Automatiques (1913): Sur Un Casque,Erik Satie,Piano Music,33
Embryons Desséchés (1913): D'holothurie,Erik Satie,Piano Music,34
Embryons Desséchés (1913): D'edriopthalma,Erik Satie,Piano Music,35
Embryons Desséchés (1913): De Podophthalma,Erik Satie,Piano Music,36
Heures Séculaires Et Instantanées (1914): Obstacles Venimeux,Erik Satie,Piano Music,37
Heures Séculaires Et Instantanées (1914): Crépuscule Matinal (De Midi),Erik Satie,Piano Music,38
Heures Séculaires Et Instantanées (1914): Affolements Grantiques,Erik Satie,Piano Music,39
Sports Et Divertissements (1914): Choral Inappétissant,Erik Satie,Piano Music,40
Sports Et Divertissements (1914): La Balançoire,Erik Satie,Piano Music,41
Sports Et Divertissements (1914): La Chasse,Erik Satie,Piano Music,42
Sports Et Divertissements (1914): Le Comédie Italienne,Erik Satie,Piano Music,43
Sports Et Divertissements (1914): Le Réveil De La Mariée,Erik Satie,Piano Music,44
Sports Et Divertissements (1914): Colin-maillard,Erik Satie,Piano Music,45
Sports Et Divertissements (1914): La Pêche,Erik Satie,Piano Music,46
Sports Et Divertissements (1914): Le Yachting,Erik Satie,Piano Music,47
Sports Et Divertissements (1914): Le Bain De Mer,Erik Satie,Piano Music,48
Sports Et Divertissements (1914): Le Carnaval,Erik Satie,Piano Music,49
Sports Et Divertissements (1914): Le Golf,Erik Satie,Piano Music,50
Sports Et Divertissements (1914): Le Pieuvre,Erik Satie,Piano Music,51
Sports Et Divertissements (1914): Les Courses,Erik Satie,Piano Music,52
Sports Et Divertissements (1914): Les Quatre-coins,Erik Satie,Piano Music,53
Sports Et Divertissements (1914): Le Pique-nique,Erik Satie,Piano Music,54
Sports Et Divertissements (1914): Le Waterchute,Erik Satie,Piano Music,55
Sports Et Divertissements (1914): Le Tango,Erik Satie,Piano Music,56
Sports Et Divertissements (1914): Le Traineau,Erik Satie,Piano Music,57
Sports Et Divertissements (1914): Le Flirt,Erik Satie,Piano Music,58
Sports Et Divertissements (1914): Le Feu D'artifice,Erik Satie,Piano Music,59
Sports Et Divertissements (1914): Le Tennis,Erik Satie,Piano Music,60
3 Valses Distinguées Du Précieux Dégoute (1914): Sa Taille,Erik Satie,Piano Music,61
3 Valses Distinguées Du Précieux Dégoute(1914): Son Bincole,Erik Satie,Piano Music,62
3 Valses Distinguées Du Précieux Dégoute(1914): Ses Jambes,Erik Satie,Piano Music,63
Avant-dernières Pensées (1915): Idylle,Erik Satie,Piano Music,64
Avant-dernières Pensées (1915): Aubade,Erik Satie,Piano Music,65
Avant-dernières Pensées (1915): Méditation,Erik Satie,Piano Music,66
Sonatine Bureaucratique (1917),Erik Satie,Piano Music,67
Nocturnes (1919): Doux Et Calme,Erik Satie,Piano Music,68
Nocturnes (1919): Simplement,Erik Satie,Piano Music,69
Nocturnes (1919): Un Peu Mouvementé,Erik Satie,Piano Music,70
Nocturnes (1919): No. 4,Erik Satie,Piano Music,71
Nocturnes (1919): No. 5,Erik Satie,Piano Music,72
The Wonder Years (feat. Chance the Rapper & Nico Segal),The O'My's,Chicago Style,1
Don't Wait (Chance the Rapper & The Social Experiment Remix),Mapei,Don't Wait EP,2
Symmetry Slice,Octave Minds,Octave Minds,1
Anthem,Octave Minds,Octave Minds,2
Initials KK,Octave Minds,Octave Minds,3
